Date,Open,High,Low,Close,Volume
1995-01-02,470.1217346191406,470.1217346191406,470.1217346191406,470.1217346191406,0
1995-01-03,472.3616333007813,472.3616333007813,472.3616333007813,472.3616333007813,0
1995-01-04,474.4715270996094,474.4715270996094,474.4715270996094,474.4715270996094,0
1995-01-05,477.8014221191406,477.8014221191406,477.8014221191406,477.8014221191406,0
1995-01-06,481.2012634277344,481.2012634277344,481.2012634277344,481.2012634277344,0
1995-01-09,477.0214538574219,477.0214538574219,477.0214538574219,477.0214538574219,0
1995-01-10,468.6717529296875,468.6717529296875,468.6717529296875,468.6717529296875,0
1995-01-11,461.3820495605469,461.3820495605469,461.3820495605469,461.3820495605469,0
1995-01-12,452.67236328125,452.67236328125,452.67236328125,452.67236328125,0
1995-01-13,441.852783203125,441.852783203125,441.852783203125,441.852783203125,0
1995-01-16,447.2825927734375,447.2825927734375,447.2825927734375,447.2825927734375,0
1995-01-17,449.08251953125,449.08251953125,449.08251953125,449.08251953125,0
1995-01-18,449.8224792480469,449.8224792480469,449.8224792480469,449.8224792480469,0
1995-01-19,451.7724304199219,451.7724304199219,451.7724304199219,451.7724304199219,0
1995-01-20,446.0626220703125,446.0626220703125,446.0626220703125,446.0626220703125,0
1995-01-23,436.14300537109375,436.14300537109375,436.14300537109375,436.14300537109375,0
1995-01-24,435.4430541992188,435.4430541992188,435.4430541992188,435.4430541992188,0
1995-01-25,432.9431457519531,432.9431457519531,432.9431457519531,432.9431457519531,0
1995-01-26,434.4430541992188,434.4430541992188,434.4430541992188,434.4430541992188,0
1995-01-27,437.1329956054688,437.1329956054688,437.1329956054688,437.1329956054688,0
1995-01-30,437.2430114746094,437.2430114746094,437.2430114746094,437.2430114746094,0
1995-01-31,433.8131103515625,433.8131103515625,433.8131103515625,433.8131103515625,0
1995-02-01,434.633056640625,434.633056640625,434.633056640625,434.633056640625,0
1995-02-02,440.48284912109375,440.48284912109375,440.48284912109375,440.48284912109375,0
1995-02-03,445.3626403808594,445.3626403808594,445.3626403808594,445.3626403808594,0
1995-02-06,453.1223754882813,453.1223754882813,453.1223754882813,453.1223754882813,0
1995-02-07,457.3121948242188,457.3121948242188,457.3121948242188,457.3121948242188,0
1995-02-08,451.9324340820313,451.9324340820313,451.9324340820313,451.9324340820313,0
1995-02-09,450.81243896484375,450.81243896484375,450.81243896484375,450.81243896484375,0
1995-02-10,453.2923583984375,453.2923583984375,453.2923583984375,453.2923583984375,0
1995-02-13,455.6822814941406,455.6822814941406,455.6822814941406,455.6822814941406,0
1995-02-14,454.0823669433594,454.0823669433594,454.0823669433594,454.0823669433594,0
1995-02-15,456.4322509765625,456.4322509765625,456.4322509765625,456.4322509765625,0
1995-02-16,455.572265625,455.572265625,455.572265625,455.572265625,0
1995-02-17,453.1223754882813,453.1223754882813,453.1223754882813,453.1223754882813,0
1995-02-20,454.0123596191406,454.0123596191406,454.0123596191406,454.0123596191406,0
1995-02-21,455.812255859375,455.812255859375,455.812255859375,455.812255859375,0
1995-02-22,454.8722839355469,454.8722839355469,454.8722839355469,454.8722839355469,0
1995-02-23,454.38232421875,454.38232421875,454.38232421875,454.38232421875,0
1995-02-24,454.6722717285156,454.6722717285156,454.6722717285156,454.6722717285156,0
1995-02-27,452.5523986816406,452.5523986816406,452.5523986816406,452.5523986816406,0
1995-02-28,453.5623474121094,453.5623474121094,453.5623474121094,453.5623474121094,0
1995-03-01,452.86236572265625,452.86236572265625,452.86236572265625,452.86236572265625,0
1995-03-07,447.2026062011719,447.2026062011719,447.2026062011719,447.2026062011719,0
1995-03-08,437.2829895019531,437.2829895019531,437.2829895019531,437.2829895019531,0
1995-03-09,437.4830017089844,437.4830017089844,437.4830017089844,437.4830017089844,0
1995-03-10,432.7131652832031,432.7131652832031,432.7131652832031,432.7131652832031,0
1995-03-13,429.92327880859375,429.92327880859375,429.92327880859375,429.92327880859375,0
1995-03-14,425.2034301757813,425.2034301757813,425.2034301757813,425.2034301757813,0
1995-03-15,428.6533203125,428.6533203125,428.6533203125,428.6533203125,0
1995-03-16,427.1833801269531,427.1833801269531,427.1833801269531,427.1833801269531,0
1995-03-17,426.6534118652344,426.6534118652344,426.6534118652344,426.6534118652344,0
1995-03-20,426.9234008789063,426.9234008789063,426.9234008789063,426.9234008789063,0
1995-03-21,427.1733703613281,427.1733703613281,427.1733703613281,427.1733703613281,0
1995-03-22,425.9034423828125,425.9034423828125,425.9034423828125,425.9034423828125,0
1995-03-23,426.2334289550781,426.2334289550781,426.2334289550781,426.2334289550781,0
1995-03-24,422.1135559082031,422.1135559082031,422.1135559082031,422.1135559082031,0
1995-03-27,423.5735168457031,423.5735168457031,423.5735168457031,423.5735168457031,0
1995-03-28,426.06341552734375,426.06341552734375,426.06341552734375,426.06341552734375,0
1995-03-29,428.9032897949219,428.9032897949219,428.9032897949219,428.9032897949219,0
1995-03-30,428.6233215332031,428.6233215332031,428.6233215332031,428.6233215332031,0
1995-04-03,424.4734497070313,424.4734497070313,424.4734497070313,424.4734497070313,0
1995-04-04,425.1834411621094,425.1834411621094,425.1834411621094,425.1834411621094,0
1995-04-05,428.5333251953125,428.5333251953125,428.5333251953125,428.5333251953125,0
1995-04-06,430.833251953125,430.833251953125,430.833251953125,430.833251953125,0
1995-04-07,428.9732666015625,428.9732666015625,428.9732666015625,428.9732666015625,0
1995-04-10,426.1034240722656,426.1034240722656,426.1034240722656,426.1034240722656,0
1995-04-11,424.073486328125,424.073486328125,424.073486328125,424.073486328125,0
1995-04-12,419.983642578125,419.983642578125,419.983642578125,419.983642578125,0
1995-04-13,419.4336853027344,419.4336853027344,419.4336853027344,419.4336853027344,0
1995-04-17,417.82373046875,417.82373046875,417.82373046875,417.82373046875,0
1995-04-18,414.9438171386719,414.9438171386719,414.9438171386719,414.9438171386719,0
1995-04-19,414.1938781738281,414.1938781738281,414.1938781738281,414.1938781738281,0
1995-04-20,414.3938903808594,414.3938903808594,414.3938903808594,414.3938903808594,0
1995-04-21,419.503662109375,419.503662109375,419.503662109375,419.503662109375,0
1995-04-24,420.1736450195313,420.1736450195313,420.1736450195313,420.1736450195313,0
1995-04-25,421.7635498046875,421.7635498046875,421.7635498046875,421.7635498046875,0
1995-04-26,419.5836791992188,419.5836791992188,419.5836791992188,419.5836791992188,0
1995-04-27,417.7937622070313,417.7937622070313,417.7937622070313,417.7937622070313,0
1995-04-28,416.4338073730469,416.4338073730469,416.4338073730469,416.4338073730469,0
1995-05-01,415.3038330078125,415.3038330078125,415.3038330078125,415.3038330078125,0
1995-05-02,420.1436462402344,420.1436462402344,420.1436462402344,420.1436462402344,0
1995-05-03,423.37353515625,423.37353515625,423.37353515625,423.37353515625,0
1995-05-04,424.3034973144531,424.3034973144531,424.3034973144531,424.3034973144531,0
1995-05-05,426.9933776855469,426.9933776855469,426.9933776855469,426.9933776855469,0
1995-05-08,428.5133361816406,428.5133361816406,428.5133361816406,428.5133361816406,0
1995-05-09,434.2731323242188,434.2731323242188,434.2731323242188,434.2731323242188,0
1995-05-11,459.5321044921875,459.5321044921875,459.5321044921875,459.5321044921875,0
1995-05-12,461.5120239257813,461.5120239257813,461.5120239257813,461.5120239257813,785200
1995-05-16,463.4819946289063,463.4819946289063,463.4819946289063,463.4819946289063,0
1995-05-17,464.5819091796875,464.5819091796875,464.5819091796875,464.5819091796875,0
1995-05-18,457.8221740722656,457.8221740722656,457.8221740722656,457.8221740722656,0
1995-05-19,458.692138671875,458.692138671875,458.692138671875,458.692138671875,0
1995-05-22,461.3720703125,461.3720703125,461.3720703125,461.3720703125,0
1995-05-23,470.7516784667969,470.7516784667969,470.7516784667969,470.7516784667969,0
1995-05-24,474.8114929199219,474.8114929199219,474.8114929199219,474.8114929199219,0
1995-05-26,473.6715698242188,473.6715698242188,473.6715698242188,473.6715698242188,0
1995-05-29,472.7416076660156,472.7416076660156,472.7416076660156,472.7416076660156,0
1995-05-30,475.2615051269531,475.2615051269531,475.2615051269531,475.2615051269531,0
1995-06-01,475.3114726968017,485.7610778808594,475.3114726968017,485.7610778808594,592400
1995-06-02,493.13079833984375,493.13079833984375,493.13079833984375,493.13079833984375,0
1995-06-05,497.2406311035156,497.2406311035156,497.2406311035156,497.2406311035156,0
1995-06-06,496.5906229935816,499.140541881304,491.2508348571443,494.6607055664063,497000
1995-06-07,494.6007426505231,496.2006864757959,494.04076688913614,495.49072265625,309100
1995-06-08,495.4907477485394,495.6607240509306,488.97098167075177,489.0709838867188,230900
1995-06-09,489.1209816842908,491.7308654785156,489.1209816842908,491.7308654785156,365400
1995-06-12,491.5708784733354,491.66087131128137,484.28115343580185,487.2910461425781,208200
1995-06-13,487.3210208771556,489.0509645023892,486.1110765352746,488.27099609375,233800
1995-06-14,488.3109821323597,490.3409019097708,488.3109821323597,489.3009643554688,228900
1995-06-15,489.3509620255296,489.5609453133996,486.7410781842577,487.25103759765625,244900
1995-06-16,487.461034030489,488.02100978911415,485.2711168429982,486.0210876464844,281700
1995-06-19,486.7210477046869,486.7910523044205,483.23119329076,485.381103515625,114100
1995-06-20,484.87112142680286,487.9309997558594,484.87112142680286,487.9309997558594,186700
1995-06-21,487.9710063144448,488.12102489221655,485.9210982706613,486.35107421875,631500
1995-06-22,486.36108196109217,490.2309265136719,486.36108196109217,490.2309265136719,361600
1995-06-23,490.4609223880326,492.19083552905977,489.5409447655632,491.640869140625,526200
1995-06-26,491.7108627335599,491.7308509688479,489.1309461110829,489.7909240722656,602300
1995-06-27,489.95094541819,489.9709336544536,487.8910279765555,489.6209716796875,545400
1995-06-28,489.3309631347656,489.3309631347656,489.3309631347656,489.3309631347656,465400
1995-06-29,489.3809543007472,491.8208618164063,489.1009664145104,491.8208618164063,367100
1995-06-30,491.47085595127385,492.2608337402344,490.0509283227216,492.2608337402344,394400
1995-07-03,492.3208211722279,492.4608303675149,488.4509767797388,492.0608215332031,361000
1995-07-04,492.2308503477765,493.7307919943416,491.1308870370173,493.4107971191406,283800
1995-07-05,489.57093751143617,499.0205818470976,489.57093751143617,498.5705871582031,366900
1995-07-06,498.5905795155818,501.9104576255459,498.58060065592593,499.4605712890625,358100
1995-07-07,499.4605808591288,509.1202087402344,499.4605808591288,509.1202087402344,388000
1995-07-10,509.2501695495885,512.8000497026513,509.2501695495885,510.4701232910156,717200
1995-07-11,510.55011269920254,510.5900891687818,506.1202926403824,507.490234375,286000
1995-07-12,507.1702591257665,507.6002350632819,506.5702763786062,507.2102661132813,231700
1995-07-13,507.21026448890257,509.9101410678924,507.21026448890257,509.5201721191406,692500
1995-07-14,509.52018335207873,509.86016646138506,506.860283185445,508.240234375,388800
1995-07-17,510.7601132362117,512.5400427170973,510.4901347336761,511.8500671386719,2266900
1995-07-18,511.8500840064419,512.5400596076051,508.9602122923966,509.93017578125,788900
1995-07-19,509.93014657584536,509.93014657584536,503.7703828830623,504.4803466796875,369300
1995-07-20,505.3303421659109,507.4102478027344,502.2104684524803,507.4102478027344,509100
1995-07-21,507.5102337264128,512.2800369794688,507.4102315174963,510.91009521484375,379500
1995-07-24,511.0300921927536,511.9000839566991,508.4302178260237,509.5101623535156,204600
1995-07-25,509.5301581465768,510.7501118897147,507.8702496015574,508.9201965332031,299500
1995-07-26,508.9002166790451,509.920166015625,502.3704719136234,509.920166015625,260300
1995-07-27,510.020168442044,510.7101440429688,508.4002363412263,510.7101440429688,356600
1995-07-28,510.750098278591,512.6600275601031,510.750098278591,512.4900512695312,248800
1995-07-31,512.4900337294638,512.5400195740649,510.470092932253,512.0400390625,1211400
1995-08-01,512.0800207214681,512.2300392895689,507.34021518904046,511.39007568359375,578500
1995-08-02,511.370121892396,513.3100488689042,510.8401132133336,513.06005859375,307300
1995-08-03,513.0600391250862,515.559941781767,512.4600258678149,512.56005859375,402500
1995-08-04,512.5600853952392,512.990061350738,508.8902146761248,510.1101684570313,363500
1995-08-07,514.1099870019035,516.369908773041,514.1099870019035,515.7199096679688,301700
1995-08-08,515.9099440259553,517.4198951137413,512.9800652074763,513.5900268554688,517300
1995-08-10,517.5197984236609,517.7598403332593,513.6299964850823,514.9799194335938,470000
1995-08-11,514.9798994738571,519.3797521543162,514.9798994738571,519.1597290039062,393200
1995-08-14,519.3897571334331,519.5098086130586,514.7499841122825,515.909912109375,424600
1995-08-15,515.9898902085855,516.8598514041124,513.449950183817,514.9899291992188,465900
1995-08-16,514.9899629888467,514.9899629888467,510.3701477050781,510.3701477050781,259200
1995-08-18,510.3701345341305,510.4501179908528,498.7505615089992,500.6304931640625,320000
1995-08-21,500.5505299851202,500.7505038932218,493.1808216368001,498.0146179199219,286000
1995-08-22,498.0506077448938,500.6304938279643,498.0506077448938,499.08056640625,521700
1995-08-23,499.0905389130441,502.0504455566406,499.0905389130441,502.0504455566406,265300
1995-08-24,502.08046739970735,502.3704646592458,498.8706008581355,500.3205261230469,244300
1995-08-25,500.3205057340761,501.0004719209339,499.9005391842359,500.58050537109375,272200
1995-08-28,500.59050641006456,501.1505126953125,499.8405355928746,501.1505126953125,158000
1995-08-29,501.1604497088968,503.9903564453125,501.1604497088968,503.9903564453125,443300
1995-08-30,504.01039178942864,506.9002940150182,504.01039178942864,506.7702941894531,437400
1995-08-31,506.7702725961436,507.08025808248686,499.7005405995755,500.7304992675781,412500
1995-09-01,500.5605020314579,501.7604675292969,500.1105378570609,501.7604675292969,307200
1995-09-04,501.9804423872045,502.5804251148495,499.7905252669531,500.5205078125,327200
1995-09-05,500.49054004042137,500.5205376527725,495.6407226010368,496.5806884765625,188200
1995-09-06,496.6506808565239,496.8206571502012,492.7508082484848,493.13079833984375,334300
1995-09-07,493.14080217131,493.14080217131,490.57089491192136,491.4208679199219,400600
1995-09-08,491.4208729022886,491.6508749353281,488.9909748151442,489.9809265136719,394400
1995-09-11,489.98093217169054,489.98093217169054,481.9412364951412,485.4211120605469,337800
1995-09-12,485.4310991032332,487.9809875488281,485.1010948708357,487.9809875488281,277000
1995-09-13,488.0010135326318,493.6607971191406,488.0010135326318,493.6607971191406,454500
1995-09-14,493.660773306848,495.4007263183594,493.4607994028468,495.4007263183594,1198900
1995-09-15,495.4107012837214,497.4306421580686,495.21072738129214,495.30072021484375,462300
1995-09-18,495.3007380674504,495.6307118023666,493.4508039340593,494.1907653808594,262600
1995-09-19,494.1907558088146,494.5707459010733,493.0907925197477,493.1607971191406,246000
1995-09-20,493.7807591381354,493.7807591381354,491.8408322407515,492.9308166503906,287400
1995-09-21,492.93084192793214,494.0907699623947,492.510844834054,493.580810546875,354800
1995-09-22,493.5808103415687,494.0007769188808,491.5008741421472,492.7908325195313,291000
1995-09-25,492.7908307822688,493.5307922363281,491.91086012533816,493.5307922363281,308500
1995-09-26,493.520794300742,494.3607579363299,491.8208482777061,493.0408020019531,397800
1995-09-27,493.040813181926,493.16080363024656,489.57094697483336,490.19091796875,492400
1995-09-28,490.1909242241825,491.9208679199219,488.2209996287396,491.9208679199219,657400
1995-09-29,491.9208574767488,494.230765136531,490.1909138177351,493.2207946777344,610700
1995-10-02,493.220781862826,493.8107552243378,490.1809222221269,490.5408935546875,518000
1995-10-03,490.5408775335141,490.6708773492672,486.2510361956034,487.7809753417969,381600
1995-10-04,487.9410088661955,492.6308288574219,487.9410088661955,492.6308288574219,360000
1995-10-05,492.6307987405715,494.99072265625,492.6307987405715,494.99072265625,353100
1995-10-06,494.9907724003029,496.37072365256745,494.9007795599021,496.2707214355469,281900
1995-10-09,496.2707080294837,496.710693359375,494.3007834213223,496.710693359375,262400
1995-10-10,496.7106951004426,497.1606592918691,494.6607565070839,495.970703125,253400
1995-10-11,495.9707143957072,496.8406757019592,494.9107580321825,496.2607116699219,253500
1995-10-12,496.2606781899835,496.4206756230184,493.9907775488545,495.4007263183594,548700
1995-10-13,495.40074014947686,496.5406799316406,495.1407404989873,496.5406799316406,485100
1995-10-16,496.5406890632094,496.86068394409807,495.3307446580639,495.99072265625,496400
1995-10-17,495.9906962264551,499.2305603027344,495.9906962264551,499.2305603027344,373300
1995-10-18,499.2305692547321,500.160525735319,497.6006278114983,499.4605712890625,408900
1995-10-19,501.6004638671875,501.6004638671875,501.6004638671875,501.6004638671875,733600
1995-10-20,501.60044840378623,502.39042616430805,499.1905386527078,500.4205017089844,685000
1995-10-23,500.420535690371,500.73052119028586,497.9306423147997,498.9405822753906,309500
1995-10-24,498.94057621614434,498.990592580408,496.6606661548245,498.0006103515625,405600
1995-10-25,497.7905943406858,498.120598567402,496.58065004763336,497.1606140136719,328600
1995-10-26,497.1606128443342,497.4906170702742,496.2706634046183,497.130615234375,375500
1995-10-27,497.1306329353125,497.3206279772821,493.1208098515088,494.4507446289063,274700
1995-10-30,494.4507547569354,494.4707429925665,489.9609392883382,490.7908935546875,278000
1995-10-31,490.7908932472414,490.8009026232458,487.151050799295,488.4309997558594,615800
1995-11-01,488.4809676784702,488.8809459908964,486.7810217051727,487.9709777832031,258600
1995-11-02,487.9910293602173,488.3610100870088,484.7311463877026,486.4610900878906,370900
1995-11-03,486.4610701743273,488.3009948730469,486.4610701743273,488.3009948730469,282400
1995-11-06,488.3010220874103,489.9109448448691,488.0910082801309,489.0009765625,305000
1995-11-07,489.00095017795735,490.6209127408597,488.68098582885625,489.8909301757813,340200
1995-11-08,489.89089565286446,490.250866963882,486.3510251792526,487.4409790039063,670100
1995-11-09,487.44101818005066,487.75100367269226,480.891285330507,481.3912658691406,488700
1995-11-10,481.3912442501722,481.5712299120637,468.2417627779221,474.5715026855469,496900
1995-11-13,474.5715260930796,474.5815354691413,465.8918712280211,467.3318176269531,370100
1995-11-14,467.3318016422061,471.6116337047572,466.06183158141965,469.271728515625,2117000
1995-11-15,469.2717339900944,469.44171028097054,459.17212118946594,460.79205322265625,1106300
1995-11-16,460.7920482941798,461.582026067043,458.0721530217446,459.882080078125,1057800
1995-11-17,459.8820941071832,460.2520748237733,455.4822714630682,456.3222351074219,916200
1995-11-20,456.3222322212037,456.3222322212037,450.9224485322892,453.11236572265625,548700
1995-11-21,453.1124014626108,454.0323486328125,450.8824771088605,454.0323486328125,606400
1995-11-22,454.1423295038861,459.40213457018905,454.1423295038861,458.7321472167969,703100
1995-11-23,458.73214270628495,469.5917053222656,458.73214270628495,469.5917053222656,891500
1995-11-24,469.5917093763322,471.0616533884862,467.10181604577366,468.9117431640625,455500
1995-11-27,470.0616953687656,472.9115905761719,469.4517337522408,472.9115905761719,446900
1995-11-28,472.91159273970754,475.9114760209351,471.8316481856776,473.7515563964844,549200
1995-11-29,473.75153210762574,478.6113586425781,472.731582830201,478.6113586425781,542500
1995-11-30,478.6113876703997,482.46124402070166,478.6113876703997,481.7112731933594,593300
1995-12-01,481.7112840702587,490.4209369305322,481.7112840702587,486.7010803222656,884600
1995-12-04,487.5010120634834,493.9007873535156,487.5010120634834,493.9007873535156,808300
1995-12-05,493.900776671363,499.9805264457317,493.900776671363,496.7606506347656,1070000
1995-12-06,496.76069029339385,496.96069472649526,494.7307704146222,496.2107238769531,673000
1995-12-07,496.2106979143562,503.3304159242042,496.2106979143562,502.6004333496094,807400
1995-12-08,502.6004474000455,510.42015059133536,502.6004474000455,506.1003112792969,739200
1995-12-11,506.8902953080851,507.9202540416531,497.21067898455817,499.9805603027344,509800
1995-12-12,499.9805342829656,499.99054365889606,494.8707478704609,496.9606628417969,333500
1995-12-13,496.9606678457074,496.9606678457074,488.4010034539068,491.6008605957031,670800
1995-12-14,491.61086638509806,491.6308546206244,488.4509857376995,489.94091796875,505600
1995-12-15,489.9409186733435,492.3108215332031,489.6409425580664,492.3108215332031,346600
1995-12-18,492.3108330324651,493.92078626576415,492.0308451462032,493.3908081054688,362800
1995-12-19,492.5808381172074,493.3908041572833,488.880969884562,491.7208557128906,715300
1995-12-21,492.0408470723674,505.13033396060587,492.0408470723674,504.9603576660156,840000
1995-12-22,506.56026977763935,513.2700000705576,506.56026977763935,512.77001953125,622800
1995-12-26,512.7900275891916,515.6299438476562,512.6800465207049,515.6299438476562,212600
1995-12-27,515.6299577322601,516.2199005938684,511.4400878297174,512.8500366210938,438200
1995-12-28,512.8500137658549,513.8299560546875,510.55011558012495,513.8299560546875,2595700
1996-01-02,513.8299637354821,513.9599635552638,510.6401160448818,512.4600219726562,196100
1996-01-03,512.4600036958386,520.8797194228554,512.4600036958386,519.8197631835938,467800
1996-01-04,519.819779678072,533.2392398951678,519.819779678072,532.7792358398438,708800
1996-01-05,532.7791935398691,534.2191397804947,527.2794081952645,533.2592163085938,451700
1996-01-08,533.2592703348092,535.1091739068498,531.9592721136127,533.0792236328125,443400
1996-01-09,533.079256703335,534.3492268753901,529.7294113138973,530.7893676757812,520800
1996-01-10,526.2794492284039,528.619384765625,526.2794492284039,528.619384765625,848300
